Title,Director,Cast(Subject of documentary),Genre,Notes
Trespass,Joel Schumacher,"Nicolas Cage, Nicole Kidman, Ben Mendelsohn, Cam Gigandet, Liana Liberato, Jordana Spiro, Dash Mihok, Emily Meade, Nico Tortorella",Psychological thriller,"Millennium Films,Nu Image Films"
Unknown,Jaume Collet-Serra,"Liam Neeson, Diane Kruger, January Jones, Frank Langella, Aidan Quinn, Bruno Ganz",Action thriller,"Warner Bros. Pictures, Dark Castle Entertainment"
,,,,Based on Out of My Head byDidier van Cauwelaert
A Very Harold & Kumar 3D Christmas,Todd Strauss-Schulson,"John Cho, Kal Penn and Neil Patrick Harris",Comedy,"New Line Cinema,Mandate Pictures"
,,,,Preceded byHarold and Kumar Escape from Guantanamo Bay (2008)
Waiting for Forever,James Keach,"Rachel Bilson, Tom Sturridge, Scott Mechlowicz, Richard Jenkins, Nikki Blonsky, Matthew Davis,Jaime King, Blythe Danner",Romantic comedy,Freestyle Releasing
Warrior,Gavin O'Connor,"Joel Edgerton, Tom Hardy, Jennifer Morrison, Frank Grillo and Nick Nolte, Kurt Angle, Noah Emmerich, Kevin Dunn, Denzel Whitaker, Erik Apple, Vanessa Martinez, Nate Marquardt, Anthony Johnson",Action drama,Lionsgate
Water for Elephants,Francis Lawrence,"Robert Pattinson, Reese Witherspoon, Christoph Waltz, Hal Holbrook",Drama,20th Century Fox
,,,,Based on thenovel of the same name by Sara Gruen
The Way,Emilio Estevez,"Martin Sheen, Deborah Kara Unger, Yorick van Wageningen, James Nesbitt, Tchéky Karyo, Emilio Estevez",Drama,ARC Entertainment
We Bought a Zoo,Cameron Crowe,"Matt Damon, Scarlett Johansson, Thomas Haden Church, Patrick Fugit, Elle Fanning, John Michael Higgins, Colin Ford, Stephanie Szostak, Angus Macfadyen, Carla Gallo, Peter Riegert, J. B. Smoove",Comedy-drama,20th Century Fox
,,,,Based on the memoir of the same name by Benjamin Mee
What's Your Number?,Mark Mylod,"Anna Faris, Chris Evans, Ari Graynor and Blythe Danner, Ed Begley, Jr., Joel McHale, Oliver Jackson-Cohen, Zachary Quinto, Chris Pratt, Andy Samberg, Thomas Lennon, Mike Vogel, Martin Freeman, Anthony Mackie, Dave Annable",Romantic comedy,Regency Enterprises
,,,,Based on 20 Times a Lady byKaryn Bosnak
Win Win,Thomas McCarthy,"Paul Giamatti, Amy Ryan, Bobby Cannavale, Jeffrey Tambor, Burt Young, Melanie Lynskey",Comedy-drama,Fox Searchlight Pictures
Winnie the Pooh,"Stephen Anderson, Don Hall","Jim Cummings, Tom Kenny, Craig Ferguson, Travis Oates, Bud Luckey, Jack Boulter, Kristen Anderson-Lopez, Wyatt Dean Hall, John Cleese (narrator)","Animated, Family","Walt Disney Pictures, Walt Disney Animation Studios"
,,,,Inspired by theWinnie the Poohstories by A. A. Milne
X-Men: First Class,Matthew Vaughn,"James McAvoy, Michael Fassbender, Kevin Bacon, January Jones, Rose Byrne, Nicholas Hoult,Jennifer Lawrence, Oliver Platt, Ray Wise, Zoë Kravitz, Caleb Landry Jones, Lucas Till, Edi Gathegi,Jason Flemyng",Superhero,20th Century Fox
,,,,Based onUncanny X-Menby Stan Lee andJack Kirby
,,,,Preceded by X-Men Origins: Wolverine (2009)
Young Adult,Jason Reitman,"Charlize Theron, Patton Oswalt, Patrick Wilson, Elizabeth Reaser, J. K. Simmons, Collette Wolfe,Hettienne Park",Comedy-drama,"Paramount Pictures, Mandate Pictures"
Your Highness,David Gordon Green,"Danny McBride, James Franco, Natalie Portman, Zooey Deschanel, Justin Theroux, Toby Jones,Damian Lewis, Michael Clarke Duncan","Comedy, Fantasy",Universal Pictures
Zookeeper,Frank Coraci,"Kevin James, Rosario Dawson, Leslie Bibb, Ken Jeong, Donnie Wahlberg, Joe Rogan, Thomas Gottschalk, Adam Sandler (voice), Sylvester Stallone (voice), Nick Nolte (voice), Don Rickles (voice),Judd Apatow (voice), Jon Favreau (voice), Faizon Love (voice), Cher (voice), Maya Rudolph (voice)","Comedy, Family","Columbia Pictures, MGM Pictures"
2012-12-12,Jared Cohn,"Sara Malakul Lane, Jesus Guevara, Steve Hanks, Carl Donelson, Laura Ramos",Horror,The Asylum,4-Dec
2-Headed Shark Attack,Christopher Douglas-Olen Ray,"Carmen Electra, Charlie O'Connell, Brooke Hogan, Christina Bach, David Gallegos",Horror,The Asylum,31-Jan
21 Jump Street,Phil Lord and Chris Miller,"Jonah Hill, Channing Tatum, Brie Larson, Ice Cube, Ellie Kemper, Dave Franco, Rob Riggle,Johnny Depp",Action comedy,"Columbia Pictures, MGM Pictures",16-Mar
,,,,Based on the TV series of the same name
28 Hotel Rooms,Matt Ross,"Marin Ireland, Chris Messina, Robert Deamer, Brett Collier",Thriller,Oscilloscope Laboratories,9-Nov
"3,2,1... Frankie Go Boom",Jordan Roberts,"Charlie Hunnam, Chris O'Dowd, Lizzy Caplan, Nora Dunn, Whitney Cummings, Ron Perlmanand Chris Noth",Comedy,Variance Films,12-Oct
40 Days and Nights,Peter Geiger,"Monica Keena, Christianna Carmine, Emily Sandifer, Alex Carter",Horror,The Asylum,27-Nov
40 Point Plan,EW,"Dave Nemeth, Tisha Rivera, Joe Comino, Nathan Kotzur, Christianne Christiensen",Solution-mentary,40 Point Productions,27-Jul
A Late Quartet,Yaron Zilberman,"Philip Seymour Hoffman, Mark Ivanir, Catherine Keener, Christopher Walken, Imogen Poots,Liraz Charhi, Wallace Shawn",Drama,"Entertainment One, RKO Pictures",2-Nov
A Little Bit of Heaven,Nicole Kassell,"Kate Hudson, Gael García Bernal, Lucy Punch, Romany Malco, Treat Williams, with Whoopi Goldberg and Kathy Bates",Romantic comedy,"The Film Department,Millennium Entertainment",4-May
A Thousand Words,Brian Robbins,"Eddie Murphy, Kerry Washington, Cliff Curtis, Clark Duke, Allison Janney, Ariel Winter, Steve Little, John Witherspoon, Jack McBrayer",Comedy-drama,"Paramount Pictures,DreamWorks Pictures",9-Mar
The ABCs of Death,Various,See Segments,"Anthology,Horror comedy",Magnet Releasing,14-Sep
About Cherry,Stephen Elliott,"Ashley Hinshaw, James Franco, Dev Patel, Heather Graham, Lili Taylor, Diane Farr",Drama,IFC Films,21-Sep
Abraham Lincoln vs. Zombies,Richard Schenkman,"Bill Oberst Jr., Jason Hughley, Jason Vail, Don McGraw, Christopher Marrone","Parody,Horror",The Asylum,29-May
Abraham Lincoln: Vampire Hunter,Timur Bekmambetov,"Benjamin Walker, Dominic Cooper, Anthony Mackie, Mary Elizabeth Winstead, Rufus Sewell,Marton Csokas","Horror,Thriller",20th Century Fox,22-Jun
,,,,Based on the novel of thesame name bySeth Grahame-Smith
Act of Valor,"Scott Waugh, Mike McCoy","Active Duty U.S. Navy SEALs, Roselyn Sánchez, Jason Cottle, Alex Veadov, Nestor Serrano,Emilio Rivera",Action,Relativity Media,24-Feb
After,Ryan Smith,"Steven Strait, Karolina Wydra, Sandra Lafferty, Madison Lintz",Thriller,Mongrel Media,14-Sep
The Aggression Scale,Steven C. Miller,"Ray Wise, Dana Ashbrook, Derek Mears, Fabianne Therese, Ryan Hartwig",Action,Anchor Bay Films,29-May
Air Collision,Liz Adams,"Reginald VelJohnson, Jordan Ladd, Gerald Webb",Action,The Asylum,27-Mar
Alex Cross,Rob Cohen,"Tyler Perry, Matthew Fox, Rachel Nichols, Jean Reno, Giancarlo Esposito, Edward Burns, John C. McGinley, Cicely Tyson, Chad Lindberg, Carmen Ejogo, Stephanie Jacobsen, Yara Shahidi",Thriller,Summit Entertainment,19-Oct
,,,,Based onCross byJames Patterson
Alien Origin,Mark Atkins,"Chelsea Vincent, Peter Pedrero, Philip Coc, Trey McCurley",Horror,The Asylum,12-Jun
Allegiance,Michael Connors,Bow Wow,"War, Drama",Produced bySandra Bullock,8-Jun
Alter Egos,Jordan Galland,"Sean Lennon, Danny Masterson, Geneva Carr, Kris Lemche, John Ventimiglia, Christine Evangelista",Comedy,TriStar Pictures,19-Oct
The Amazing Adventures of the Living Corpse,Justin Paul Ritter,"Michael Villar, Marshall Hilton, Ryan McGivern",Horror,Anchor Bay Films,17-Jul
The Amazing Spider-Man,Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Campbell Scott, Irrfan Khan, withMartin Sheen and Sally Field, Chris Zylka",Superhero,"Columbia Pictures,Marvel Entertainment,Relativity Media",3-Jul
,,,,Based on the comic book of the same name by Stan Lee and Steve Ditko
American Reunion,Jon Hurwitz andHayden Schlossberg,"Jason Biggs, Alyson Hannigan, Thomas Ian Nicholas, Chris Klein, Seann William Scott, Eddie Kaye Thomas, Tara Reid, Shannon Elizabeth, Natasha Lyonne, Mena Suvari, Chris Owen,Eugene Levy, Jennifer Coolidge, John Cho, Katrina Bowden, Jay Harrington",Comedy,Universal Pictures,April 6
,,,,Preceded byAmerican Wedding(2003)
Any Day Now,Travis Fine,"Alan Cumming, Garret Dillahunt, Gregg Henry, Jamie Anne Allman, Chris Mulkey",Drama,Music Box Films,14-Dec
Apostle Peter and the Last Supper,Gabriel Sabloff,"Robert Loggia, Bruce Marchiano, Sarah Prikryl",Drama,Virgil Films,21-Feb
The Apparition,Todd Lincoln,"Ashley Greene, Sebastian Stan, Tom Felton, Julianna Guill, Luke Pasqualino, Suzanne Ford",Supernatural thriller,Warner Bros. Pictures,24-Aug
,,,,Dark Castle Entertainment
Arbitrage,Nicholas Jarecki,"Richard Gere, Susan Sarandon, Tim Roth, Brit Marling, Laetitia Casta, Nate Parker",Drama,Lionsgate,14-Sep
Arcadia,Olivia Silver,"John Hawkes, Ryan Simpkins, Ty Simpkins, Kendall Toole",Drama,DViant Films,13-Oct
Argo,Ben Affleck,"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman, Kyle Chandler, Victor Garber, Tate Donovan, Clea DuVall, Michael Parks, Tom Lenk, Christopher Stanley, Taylor Schilling, Ashley Wood, Chris Messina, Richard Kind, Titus Welliver, Rory Cochrane, Devansh Mehta, Omid Abtahi, Scoot McNairy, Kerry Bishé, Christopher Denham, Bob Gunton, Philip Baker Hall,Adrienne Barbeau, Fouad Hajji",Thriller,Warner Bros. Pictures,12-Oct
,,,,Based on The Master of Disguise byAntonio J. Mendez andThe Great Escape byJoshuah Bearman
Art Machine,Doug Karr,"Joseph Cross, Jessica Szohr, Joey Lauren Adams, Meredith Hagner, Lynn Cohen",Drama,Sundial Pictures,12-Oct
Atlas Shrugged: Part II,John Putch,"Samantha Mathis, Jason Beghe, Esai Morales, Patrick Fabian, Kim Rhodes, Richard T. Jones,D. B. Sweeney, Paul McCrane, John Rubinstein, Robert Picardo, Ray Wise, Diedrich Bader,Bug Hall, Arye Gross, Rex Linn, Larisa Oleynik, Thomas F. Wilson, Teller, Sean Hannity, Juan Williams, Bob Beckel, Tamara Holder","Drama, Mystery","Atlas Distribution Company, Either Or Productions",12-Oct
,,,,Based on the novel of thesame name byAyn Rand
,,,,Preceded byAtlas Shrugged: Part I (2011)
ATM,David Brooks,"Brian Geraghty, Alice Eve, Josh Peck, Mike O'Brian",Thriller,IFC Films,April 6
Atom the Amazing Zombie Killer,Zack Beins,"Mark Shonsey, Lindy Starr, Zachary Byron Helm, Lloyd Kaufman","Comedy,Horror",Bizjack Flemco,April 20
The Avengers,Joss Whedon,"Robert Downey, Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, with Stellan Skarsgård and Samuel L. Jackson",Superhero,"Walt Disney Pictures,Marvel Studios",4-May
,,,,Based on the comic book of the same name by Stan Lee and Jack Kirby
The Babymakers,Jay Chandrasekhar,"Paul Schneider, Olivia Munn, Kevin Heffernan, Nat Faxon, Constance Zimmer",Comedy,Millennium Entertainment,3-Aug
Bachelorette,Leslye Headland,"Kirsten Dunst, Isla Fisher, Lizzy Caplan, James Marsden, Kyle Bornheimer, Rebel Wilson andAdam Scott",Comedy,"RADius-TWC,Gary Sanchez Productions",7-Sep
Bad Ass,Craig Moss,"Danny Trejo, Charles S. Dutton, Ron Perlman, Shalim Ortiz, Jillian Murray, Winter Ave Zoli,Richard Riehle",Action,"Samuel Goldwyn Films, 20th Century Fox",April 13
Bad Kids Go to Hell,Matthew Spradlin,"Cameron Deane Stewart, Augie Duke, Ali Faulkner, Roger Edwards, Amanda Alch, Marc Donato","Comedy,Thriller",Phase 4 Films,7-Dec
Barbie in A Mermaid Tale 2,William Lau,"Kelly Sheridan, Nicole Oliver, Kathleen Barr, Tabitha St. Germain, Nakia Burrise",Adventure,Universal Studios Home Entertainment,23-Feb
,,,,Preceded byBarbie in A Mermaid Tale(2010)
Barbie: The Princess and the Popstar,Zeke Norton,"Kelly Sheridan, Ellie King, Jonathan Holmes, Allison Warnyca",Fantasy,Universal Studios Home Entertainment,11-Sep
The Barrens,Darren Lynn Bousman,"Stephen Moyer, Mia Kirshner, Allie MacDonald",Horror,Anchor Bay Films,28-Sep
Barricade,Andrew Currie,"Eric McCormack, Jody Thompson, Donnelly Rhodes, Conner Dwelly, Ryan Grantham",Thriller,WWE Studios,25-Sep
Batman Revealed,Chris Clark,"David Stewart III, Chris Clark, Derek Mindler, Timothy Nugent, Jeff Trently, Jack Pinto, Tom Scholl",Thriller,DJMJ Entertainment,1-May
Batman: The Dark Knight Returns,Jay Oliva,"Peter Weller, Ariel Winter, David Selby, Wade Williams",Superhero,Warner Bros.
,,,,Based on the comic bookThe Dark Knight Returns(1986) byFrank Miller
The Battery,Jeremy Gardner,"Jeremy Gardner, Adam Cronheim, Niels Bolle, Alana O'Brien","Drama,Horror",Screen Division,13-Oct
Battlefield America,Chris Stokes,"Marques Houston, Mekia Cox, Lynn Whitfield, Christopher Michael Jones, JoJo Wright, introducing Tristen Carter, Valarie Pettiford, Gary Anthony Sturgis, Kida Burns, Zach Balandres, Carmen Bicondova, Edward Mandell, Kyle Brooks","Dance, Drama","Brian & Barrett Pictures, Cinedigm",1-Jun
Battleship,Peter Berg,"Taylor Kitsch, Liam Neeson, Alexander Skarsgård, Rihanna, Brooklyn Decker, Tadanobu Asano, Hamish Linklater, Jesse Plemons, John Tui, Gregory D. Gadson, Adam Godley, Peter MacNicol","Action, Science fiction","Universal Pictures,Bluegrass Films, Hasbro Studios",18-May
,,,,Based on the board game of the same name byHasbro
The Bay,Barry Levinson,"Kether Donohue, Kristen Connolly, Anthony Reynolds, Michael Beasley",Horror,Lions Gate Entertainment,2-Nov
BearCity 2: The Proposal,Doug Langway,"Gerald McCullouch, Joe Conti, Stephen Guarino, Kathy Najimy","Comedy,Drama",Preceded byBearCity(2010),28-Sep
Beasts of the Southern Wild,Benh Zeitlin,"Quvenzhané Wallis, Dwight Henry, Jonshel Alexander, Marilyn Barbarin, Kaliana Brower, Nicholas Clark, Henry D. Coleman, Levy Easterly, Philip B. Lawrence","Drama,Fantasy","Fox Searchlight Pictures,Journeyman Pictures,Cinereach, Court 13 Pictures",27-Jun
,,,,Based on the play Juicy and Delicious by Lucy Alibar
Beauty and the Beast 3D,"Gary Trousdale,Kirk Wise","Paige O'Hara, Robby Benson, Richard White, Jerry Orbach, David Ogden Stiers, Angela Lansbury, Bradley Pierce, Rex Everhart, Jesse Corti, Hal Smith, Jo Anne Worley","Family, Animated, Fantasy","Walt Disney Pictures, Walt Disney Animation Studios",13-Jan
The Beauty Inside,Drake Doremus,"Mary Elizabeth Winstead, Topher Grace, Matthew Gray Gubler, Caitriona Balfe, Oliver Muirhead",Social,"YouTube,Facebook",16-Aug
,,,,Preceded byInside (2011)
Being Flynn,Paul Weitz,"Robert De Niro, Paul Dano, Olivia Thirlby, Lili Taylor and Julianne Moore",Drama,Focus Features,2-Mar
,,,,Based on the memoirAnother Bullshit Night in Suck Cityby Nick Flynn
Ben Banks,Bryce Clark,"Mischa Barton, Melora Hardin, Katharine Towne, Kim Huffman","Comedy,Drama",Spotlight Pictures,7-Dec
Bending the Rules,Artie Mandelberg,"Adam ""Edge"" Copeland, Jamie Kennedy, Jennifer Esposito, Alicia Witt, Kevin Weisman, withPhilip Baker Hall and Jessica Walter","Buddy cop, Comedy",WWE Studios,9-Mar
Bernie,Richard Linklater,"Jack Black, Shirley MacLaine, Matthew McConaughey",Black comedy,"Millennium Entertainment,Castle Rock Entertainment",April 27
,,,,Based on the 1998 Texas Monthlymagazine articleMidnight in the Garden of East Texas bySkip Hollandsworth
Best Man Down,Ted Koland,"Justin Long, Jess Weixler, Tyler Labine, Addison Timlin, Shelley Long, Frances O'Connor, Evan Jones",Drama,Magnolia Pictures,20-Oct
Beverly Hills Chihuahua 3: Viva la Fiesta!,Lev L. Spiro,"Marcus Coloma, Erin Cahill, Cedric Yarbrough, Frances Fisher, Briana Lane, Sebastian Roche,Kyle Gass, Jason Brooks, Amanda Fuller",Family film,"Disney, Direct-to-DVD",18-Sep
,,,,Preceded byBeverly Hills Chihuahua 2
Beyond,Josef Rusnak,"Jon Voight, Teri Polo, Dermot Mulroney, Ben Crowley, Chloe Lesslie",Thriller,Anchor Bay Entertainment,22-May
Big Miracle,Ken Kwapis,"Drew Barrymore, John Krasinski, Kristen Bell, Dermot Mulroney, Tim Blake Nelson, Vinessa Shaw and Ted Danson, Stephen Root, Rob Riggle, Michael Gaston, Megan Angela Smith","Family, Romantic drama",Universal Pictures,3-Feb
,,,,Based onFreeing the Whales by Tom Rose
Big Top Scooby-Doo!,Spike Brandt,"Frank Welker, Matthew Lillard, Grey DeLisle, Mindy Cohn, Craig Ferguson","Family,Direct-to-DVD",Warner Bros.,9-Oct
,,,,Preceded byScooby-Doo! Music of the Vampire(2012)
Bill W,Dan Carracino,About the founder of Alcoholics Anonymous,Documentary,Page 124 Productions,18-May
Bindlestiffs,Andrew Edison,"Andrew Edison, Luke Loftin, John Karna, Will Fordyce",Comedy,SModcast Pictures,1-Jan
Black Rock,Katie Aselton,"Katie Aselton, Lake Bell, Kate Bosworth, Will Bouvier, Jay Paulson",Horror,LD Entertainment,21-Jan
Blood for Irina,Chris Alexander,"Shauna Henry, Carrie Gemmell, David Goodfellow, Andre Becker, Mark Goodfellow",Horror,Autonomy Pictures,2-Dec
Border Run,Gabriela Tagliavini,"Sharon Stone, Billy Zane, Manolo Cardona, Rosemberg Salgado",Drama,Square One Entertainment,26-Nov
The Bourne Legacy,Tony Gilroy,"Jeremy Renner, Rachel Weisz, Edward Norton, Joan Allen, Albert Finney, Scott Glenn, Stacy Keach, Oscar Isaac, David Strathairn","Action, Spy film",Universal Pictures,3-Aug
,,,,Preceded byThe Bourne Ultimatum(2007)
Brake,Gabe Torres,"Stephen Dorff, Chyler Leigh, JR Bourne, Tom Berenger, Pruitt Taylor Vince",Thriller,IFC Films,23-Mar
Branded,Jamie Bradshaw and Aleksandr Dulerayn,"Ed Stoppard, Leelee Sobieski, Jeffrey Tambor, Ingeborga Dapkunaite and Max von Sydow",Science fiction,Roadside Attractions,7-Sep
Brave,"Mark Andrews,Brenda Chapman, Steve Purcell (co-director)","Kelly Macdonald, Julie Walters, Billy Connolly, Emma Thompson, Kevin McKidd, Craig Ferguson, Robbie Coltrane","Adventure, Animated, Fantasy","Walt Disney Pictures, Pixar",22-Jun
Breaking Wind,Craig Moss,"Heather Ann Davis, Eric Callero, Frank Pacheco",Parody,Lions Gate Entertainment,13-Jan
Broken Roads,Justin Chambers,"Sally Kirkland, Aidan Bristow, Shoshana Bush, Rolonda Watts",Drama,Synkronized Films,14-Dec
Bully,Lee Hirsch,Bullying in U.S. schools.,Documentary,The Weinstein Company,30-Mar
Butter,Jim Field Smith,"Jennifer Garner, Ty Burrell, Olivia Wilde, Rob Corddry, Ashley Greene, Alicia Silverstone, withYara Shahidi and Hugh Jackman",Comedy,RADius-TWC,5-Oct
