Title,Director,Cast(Subject of documentary),Genre,Notes
Jackass 3-D,Jeff Tremaine,"Johnny Knoxville, Bam Margera, Chris Pontius, Steve-O, Ryan Dunn, Dave England, Jason ""Wee Man"" Acuña, Ehren McGhehey, Preston Lacy, The Dudesons",Comedy,"Paramount Pictures,Mtelevision films"
,,,,Preceded by Jackass Number Two (2006)
Jonah Hex,Jimmy Hayward,"Josh Brolin, John Malkovich, Megan Fox, Michael Fassbender, Will Arnett, Michael Shannon","Superhero, Western","Warner Bros. Pictures,Legendary Pictures"
,,,,Based on the DC Comicscharacter
The Joneses,Derrick Börte,"David Duchovny, Demi Moore, Amber Heard, Ben Hollingsworth, Gary Cole, Glenne Headly,Lauren Hutton",Drama comedy,Roadside Attractions
Just Wright,Sanaa Hamri,"Queen Latifah, Common, Paula Patton",Romantic comedy,Fox Searchlight Pictures
Kaboom,Gregg Araki,"Roxane Mesquida, Thomas Dekker, Juno Temple, Haley Bennett, James Duval",Science fiction,Crispy Films
The Karate Kid,Harald Zwart,"Jaden Smith, Jackie Chan, Taraji P. Henson",Martial arts,"Columbia Pictures,Overbrook Entertainment"
,,,,Preceded by The Next Karate Kid (1994)
Kick-Ass,Matthew Vaughn,"Aaron Johnson, Christopher Mintz-Plasse, Chloë Grace Moretz, Mark Strong, Nicolas Cage",Superhero,Lionsgate
,,,,"Based on the comic byMark Millar and John S. Romita, Jr."
The Kids Are All Right,Lisa Cholodenko,"Annette Bening, Julianne Moore, Mark Ruffalo, Mia Wasikowska, Josh Hutcherson",Comedy,Focus Features
The Killer Inside Me,Michael Winterbottom,"Casey Affleck, Kate Hudson, Jessica Alba, Ned Beatty, Elias Koteas, Tom Bower, Simon Baker,Bill Pullman",Crime drama,IFC Films
,,,,Based on the novel of thesame name by Jim Thompson
Killers,Robert Luketic,"Katherine Heigl, Ashton Kutcher",Action comedy,Lionsgate
Knight and Day,James Mangold,"Tom Cruise, Cameron Diaz, Maggie Grace, Peter Sarsgaard, Paul Dano, Viola Davis",Action-comedy,20th Century Fox
Knucklehead,Michael Watkins,"Mark Feuerstein, Melora Hardin, Big Show, Dennis Farina, Wendie Malick, Rebecca Creskoff,Bobb'e J. Thompson, Will Patton, Saul Rubinek",Comedy,"Samuel Goldwyn Films,WWE Studios"
The Last Airbender,M. Night Shyamalan,"Noah Ringer, Nicola Peltz, Jackson Rathbone, Dev Patel, Shaun Toub, Aasif Mandvi, Cliff Curtis, Jessica Andres, Katharine Houghton, Seychelle Gabriel","Action-adventure, Fantasy, Family","Paramount Pictures,Nickelodeon Movies. Based on the animated show Avatar: The Last Airbender"
The Last Exorcism,Daniel Stamm,"Patrick Fabian, Iris Bahr, Louis Herthum, Ashley Bell, Jamie Alyson Caulde, Tony Bentley, Shanna Forrestall, Allen Boudreaux, Caleb Landry Jones",Horror,Lionsgate
The Last Song,Julie Anne Robinson,"Miley Cyrus, Liam Hemsworth, Bobby Coleman, Kelly Preston, Greg Kinnear","Dramedy, Romance",Touchstone Pictures
,,,,Based on the novel byNicholas Sparks
Leap Year,Anand Tucker,"Amy Adams, Matthew Goode, Adam Scott, John Lithgow",Romantic comedy,"Universal Pictures,Spyglass Entertainment"
Legend of the Guardians: The Owls of Ga'Hoole,Zack Snyder,"Jim Sturgess, Geoffrey Rush, Emily Barclay, Anthony LaPaglia, David Wenham, Hugo Weaving,Ryan Kwanten, Helen Mirren, Sam Neill, Joel Edgerton, Miriam Margolyes, Richard Roxburgh,Deborra-Lee Furness, Abbie Cornish, Leigh Whannell, Angus Sampson, Bill Hunter, Sacha Horler, Essie Davis, Barry Otto",Fantasy,"Warner Bros. Pictures,Village Roadshow Pictures, Animal Logic"
,,,,Based on the Guardians of Ga'Hoole book series by Kathryn Lasky
Legendary,Mel Damski,"Patricia Clarkson, John Cena, Devon Graye, Madeleine Martin, Tyler Posey, Danny Glover",Drama,"Samuel Goldwyn Films,WWE Studios"
Legion,Scott Stewart,"Paul Bettany, Lucas Black, Tyrese Gibson, Charles S. Dutton, Adrianne Palicki, Kevin Durand,Doug Jones, Willa Holland, Kate Walsh, Dennis Quaid","Action thriller, Fantasy",Screen Gems
Let Me In,Matt Reeves,"Kodi Smit-McPhee, Chloë Grace Moretz, Elias Koteas and Richard Jenkins",Horror,Overture Films. Based on the novel Let the Right One In and film of the same name by John Ajvide Lindqvist
Letters to God,David Nixon,"Robyn Lively, Jeffrey Johnson, Tanner Maguire, Bailee Madison, Ralph Waite",Drama,Possibility Pictures
Letters to Juliet,Gary Winick,"Amanda Seyfried, Chris Egan, Vanessa Redgrave, Gael García Bernal, Franco Nero",Romantic drama,Summit Entertainment
Life as We Know It,Greg Berlanti,"Katherine Heigl, Josh Duhamel",Romantic comedy,"Warner Bros., Village Roadshow Pictures"
Like Dandelion Dust,Jon Gunn,"Mira Sorvino, Barry Pepper, Cole Hauser, Kate Levering, Maxwell Perry Cotton, L. Scott Caldwell",Drama,"Downes Brothers Entertainment, Lucky Crow Films"
Little Fockers,Paul Weitz,"Robert De Niro, Ben Stiller, Owen Wilson, Blythe Danner, Teri Polo, Jessica Alba, Laura Dern,Harvey Keitel with Dustin Hoffman and Barbra Streisand",Comedy,"Universal Pictures,Paramount Pictures,DreamWorks PicturesRelativity Media"
,,,,Preceded by Meet the Fockers (2004)
The Losers,Sylvain White,"Jeffrey Dean Morgan, Zoe Saldana, Chris Evans, Idris Elba, Columbus Short, Oscar Janaeda,Jason Patric","Action comedy,Superhero","Warner Bros. Pictures,Dark Castle Entertainment"
,,,,Based on the comic book series of the same name.
Lottery Ticket,Erik White,"Bow Wow, Brandon T. Jackson, Naturi Naughton, Keith David, Charlie Murphy, Gbenga Akinnagbe, Terry Crews, Bill Bellamy, Mike Epps, T-Pain, Loretta Devine, Ice Cube",Comedy,"Warner Bros. Pictures,Alcon Entertainment"
Love Ranch,Taylor Hackford,"Helen Mirren, Joe Pesci, Sergio Peris-Mencheta, Gina Gershon, Bryan Cranston",Drama,Summit Entertainment
Love & Other Drugs,Edward Zwick,"Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Josh Gad, Gabriel Macht, Judy Greer, Jill Clayburgh",Comedy-drama,"Fox 2000 Pictures,Regency Enterprises. Based on Hard Sell: The Evolution of a Viagra Salesman by Jamie Reidy"
MacGruber,Jorma Taccone,"Will Forte, Kristen Wiig, Ryan Phillippe, Powers Boothe, Maya Rudolph, Derek Mears, Val Kilmer, Mark Henry, Chris Jericho, Glenn Jacobs, Paul Wight, Montel Vontavious Porter, The Great Khali","Action-comedy,Parody",Rogue Pictures
,,,,Based on the recurringSaturday Night Livesketch of the same name.
Machete,"Robert Rodriguez, Ethan Maniquis","Danny Trejo, Michelle Rodriguez, Cheech Marin, Jeff Fahey, Lindsay Lohan, Don Johnson,Jessica Alba, Steven Seagal, Robert De Niro, Daryl Sabara, Tom Savini",Action,"20th Century Fox,Troublemaker Studios"
